12/07/2022 01:02:23 - INFO - __main__ -   output/resnet50_imagenet/int_W8A8_52337/gpu_0
12/07/2022 01:02:23 - INFO - __main__ -   Namespace(a_low=75, a_up=150, abit=8, batch_size=64, ckpt_path=None, dataset='imagenet', dataset_path='/home/mnt/datasets/ImageNet2012', disable_input_quantization=False, disable_quant=False, eb='sel-2-3-4-5', epoch=5, layer_8bit_l=None, layer_8bit_n=0, local_rank=0, lr=5e-05, mode='int', model='resnet50', percent=100, ptq=False, resume=False, search=False, tag='', train=True, w_low=75, w_up=150, wbit=8)
12/07/2022 01:02:23 - INFO - __main__ -   ==> Preparing data..
12/07/2022 01:02:54 - INFO - __main__ -   ==> Setting quantizer..
12/07/2022 01:02:54 - INFO - __main__ -   Namespace(a_low=75, a_up=150, abit=8, batch_size=64, ckpt_path=None, dataset='imagenet', dataset_path='/home/mnt/datasets/ImageNet2012', disable_input_quantization=False, disable_quant=False, eb='sel-2-3-4-5', epoch=5, layer_8bit_l=None, layer_8bit_n=0, local_rank=0, lr=5e-05, mode='int', model='resnet50', percent=100, ptq=False, resume=False, search=False, tag='', train=True, w_low=75, w_up=150, wbit=8)
12/07/2022 01:02:54 - INFO - __main__ -   ==> Building model..
12/07/2022 01:02:55 - INFO - __main__ -   {'milestones': Counter({2: 1, 3: 1, 4: 1}), 'gamma': 0.1, 'base_lrs': [1.25e-05], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [1.25e-05]}
12/07/2022 01:02:55 - INFO - __main__ -   
Epoch: 0
12/07/2022 01:52:00 - INFO - __main__ -   test: [epoch: 0 | batch: 8300/20019 ] | Loss: 0.881 | Acc: 78.161% (415242/531264)
12/07/2022 01:52:35 - INFO - __main__ -   test: [epoch: 0 | batch: 8400/20019 ] | Loss: 0.881 | Acc: 78.166% (420270/537664)
12/07/2022 01:53:11 - INFO - __main__ -   test: [epoch: 0 | batch: 8500/20019 ] | Loss: 0.880 | Acc: 78.164% (425262/544064)
12/07/2022 01:53:46 - INFO - __main__ -   test: [epoch: 0 | batch: 8600/20019 ] | Loss: 0.880 | Acc: 78.166% (430274/550464)
12/07/2022 01:54:22 - INFO - __main__ -   test: [epoch: 0 | batch: 8700/20019 ] | Loss: 0.880 | Acc: 78.184% (435377/556864)
12/07/2022 01:54:57 - INFO - __main__ -   test: [epoch: 0 | batch: 8800/20019 ] | Loss: 0.880 | Acc: 78.187% (440397/563264)
12/07/2022 01:55:32 - INFO - __main__ -   test: [epoch: 0 | batch: 8900/20019 ] | Loss: 0.880 | Acc: 78.190% (445420/569664)
12/07/2022 01:56:08 - INFO - __main__ -   test: [epoch: 0 | batch: 9000/20019 ] | Loss: 0.879 | Acc: 78.197% (450466/576064)
12/07/2022 01:56:43 - INFO - __main__ -   test: [epoch: 0 | batch: 9100/20019 ] | Loss: 0.879 | Acc: 78.203% (455506/582464)
12/07/2022 01:57:18 - INFO - __main__ -   test: [epoch: 0 | batch: 9200/20019 ] | Loss: 0.879 | Acc: 78.211% (460554/588864)
12/07/2022 01:57:54 - INFO - __main__ -   test: [epoch: 0 | batch: 9300/20019 ] | Loss: 0.879 | Acc: 78.217% (465600/595264)
12/07/2022 01:58:31 - INFO - __main__ -   test: [epoch: 0 | batch: 9400/20019 ] | Loss: 0.879 | Acc: 78.217% (470604/601664)
12/07/2022 01:59:06 - INFO - __main__ -   test: [epoch: 0 | batch: 9500/20019 ] | Loss: 0.878 | Acc: 78.224% (475650/608064)
12/07/2022 01:59:45 - INFO - __main__ -   test: [epoch: 0 | batch: 9600/20019 ] | Loss: 0.878 | Acc: 78.225% (480666/614464)
12/07/2022 02:00:24 - INFO - __main__ -   test: [epoch: 0 | batch: 9700/20019 ] | Loss: 0.878 | Acc: 78.233% (485720/620864)
